fault,Y,X,Z
F7,14.592244485393167,1885.1770359883085,1848.419677734375
F7,16.550165068358183,1876.234101436101,1840.603271484375
F7,19.301837239414454,1865.2803295282647,1833.947265625
F7,21.41850813664496,1856.178644659929,1833.63134765625
F7,24.646431263536215,1843.5315360315144,1838.5078125
F7,27.345186660066247,1832.6306808954105,1849.8841552734375
F7,29.250190468505025,1820.4069064483047,1862.81640625
F7,30.890610417351127,1810.299802900292,1880.611572265625
F7,32.3722800463438,1798.922696813941,1890.413818359375
F7,33.53644904308021,1788.1276752240956,1900.351806640625
F7,34.594784492626786,1777.3855704059824,1907.88818359375
F7,35.33561930991709,1767.2784668579698,1909.9622802734375
F7,36.76437216438353,1758.5471993964165,1908.955078125
F7,37.71687406860292,1747.1700933072716,1907.71337890625
F7,39.092710154131055,1736.3750717174262,1909.798828125
F7,40.15104560367763,1724.9979656310752,1911.118896484375
F7,42.10896618664265,1718.8596200207248,1907.3077392578125
F7,45.12522221915424,1707.8000145684928,1906.28466796875
F7,48.35314534045756,1696.1583246178925,1909.056884765625
F7,52.58648714609444,1681.447461862117,1911.300537109375
F7,55.44399285502732,1671.1286912243813,1905.9375
F7,56.76691217161715,1662.0799231277779,1906.93115234375
F7,57.98399793729186,1652.2374034421518,1900.41357421875
F7,59.201083704829216,1638.2144587291405,1889.06201171875
F7,60.20650237984955,1622.7627611588687,1884.3704833984375
F7,60.36525269784033,1614.5077446494251,1883.5579833984375
F7,61.31775460205972,1601.4373018434271,1876.9093017578125
F7,62.005672650411725,1589.7426951201633,1870.937744140625
F7,62.799424232915044,1585.3506030021235,1868.4014892578125
F7,64.17526031658053,1577.2543368106708,1866.19287109375
F7,65.76276349462569,1569.158070616424,1860.89404296875
F7,68.03818471170962,1557.4634638931602,1852.425537109375
F7,69.73152143321931,1547.7796945264563,1841.431884765625
F7,71.37194138020277,1536.82592261862,1840.00927734375
F7,71.90110910497606,1526.295484893024,1837.4205322265625
F7,72.69486069120467,1520.368806370534,1833.648681640625
F7,74.65278127603233,1504.7054417096078,1824.144775390625
F7,75.49944963119924,1496.8208426088095,1823.7742919921875
F7,76.45195153728127,1491.5291653573513,1823.77490234375
F7,78.62153921276331,1482.3745637154207,1822.4700927734375
F7,81.42612815462053,1469.939122179523,1822.1805419921875
F7,83.17238164506853,1463.1128585254773,1823.965087890625
F7,86.18863767758012,1450.3069995809346,1830.976806640625
F7,89.20489371009171,1437.1836400013417,1833.340087890625
F7,91.32156460918486,1426.2298680925742,1831.6966552734375
F7,93.59698582999408,1416.5460987258703,1829.09033203125
F7,95.9253238197416,1405.9098274540156,1819.176025390625
F7,97.56574376672506,1402.2056533778086,1815.22265625
F7,101.74616879783571,1392.5218840111047,1809.1861572265625
F7,104.23766683787107,1384.856889506802,1801.9656982421875
