X,Y,Z,section_name,source_layer,feature_type,confidence,use_as_hard,note,dist_F2_m,dist_F7_m,nearest
32.261284000007436,-27.868440000340343,1562.23511722,XK04,Z1,structure_hint,medium,0,,40.836093354012206,1359.0316020977,F2
34.2704359999625,-24.07447999995202,1554.19756578,XK04,Z1,structure_hint,medium,0,,45.07679382164637,1356.6678942992323,F2
36.792562999995425,-19.311859999783337,1543.83239763,XK04,Z1,structure_hint,medium,0,,50.400216267993706,1353.7141182620717,F2
37.946757000056095,-17.132360000163317,1539.17716422,XK04,Z1,structure_hint,medium,0,,52.8363549890386,1352.3674014349815,F2
39.18644600000698,-14.791410000063479,1534.30371674,XK04,Z1,structure_hint,medium,0,,55.45295340879412,1350.924447798864,F2
69.0244899999816,41.552810000255704,1732.22387483,XK04,Z2,structure_hint,medium,0,,118.4317510241319,1317.3246732938046,F2
62.48405900003854,29.202290000393987,1701.67390555,XK04,Z2,structure_hint,medium,0,,104.6269465604969,1324.499985141416,F2
56.84133500000462,18.546930000185966,1674.43351628,XK04,Z2,structure_hint,medium,0,,92.71691053226898,1330.7772974437842,F2
48.63373500003945,3.0482400003820658,1635.6277815,XK04,Z2,structure_hint,medium,0,,75.39323590992338,1340.0491105715876,F2
42.82001899997704,-7.930010000243783,1608.56923729,XK04,Z2,structure_hint,medium,0,,63.12228929396303,1346.7162097216371,F2
37.177294000051916,-18.585359999909997,1582.38354934,XK04,Z2,structure_hint,medium,0,,51.21226240015028,1353.2648624961898,F2
55.21691399998963,15.479480000212789,1666.50507188,XK04,Z2_ore,structure_hint,medium,0,,89.28826565574391,1332.5991446029316,F2
54.66119100002106,14.43008999992162,1664.21382418,XK04,Z2_ore,structure_hint,medium,0,,88.1153089358927,1333.2239111205015,F2
39.998657000018284,-13.257690000347793,1595.36728628,XK04,Z2_ore,structure_hint,medium,0,,57.16727127986796,1349.9810459483535,F2
39.57117799995467,-14.064910000190139,1593.36699067,XK04,Z2_ore,structure_hint,medium,0,,56.264999865525866,1350.4773768082937,F2
-1231.021957000019,-24.151899999938905,1929.10375078,XK11,D1,fracture_hint,medium,0,,264.2377117623901,2619.027686084028,F2
-1145.233617000049,194.4476300003007,1876.25145536,XK11,D2,fracture_hint,medium,0,,29.827069540292506,2531.698206455473,F2
-1227.1354140000185,-14.248490000143647,1945.70286113,XK11,Z1,structure_hint,medium,0,,253.64556609655995,2614.6783287703115,F2
-1220.417837999994,2.868739999830723,1871.49333055,XK11,Z1,structure_hint,medium,0,,235.32175375499455,2607.246069153026,F2
-1219.2129549999954,5.938930000178516,1858.362716,XK11,Z1,structure_hint,medium,0,,232.0285524472597,2605.9244802437274,F2
-1213.3692359999986,20.829470000229776,1794.57330339,XK11,Z1,structure_hint,medium,0,,216.0564031790627,2599.56456480038,F2
-1208.1284229999874,34.183720000088215,1738.66275546,XK11,Z1,structure_hint,medium,0,,201.7321345071516,2593.931453670949,F2
-1746.9684020000277,314.122120000422,1867.01577854,XK15,D1,fracture_hint,medium,0,,79.89202225391065,3138.850289548895,F2
-1747.0256499999668,314.0023400001228,1852.41863062,XK15,D1,fracture_hint,medium,0,,80.02272906861816,3138.8994025572456,F2
-1781.3139580000425,242.26004000008106,1869.94286324,XK15,Z1,structure_hint,medium,0,,158.4183205104206,3169.177813107926,F2
-1775.8823730000295,253.62468000035733,1833.49801482,XK15,Z1,structure_hint,medium,0,,145.99083422819976,3164.26755588933,F2
-1772.8239870000398,260.02381999976933,1812.38957978,XK15,Z1,structure_hint,medium,0,,138.99323291072636,3161.52144439572,F2
-1770.503602999961,264.87882000021636,1797.13557146,XK15,Z1,structure_hint,medium,0,,133.68418296710055,3159.447011386937,F2
