fault,depth_below_trace_m,Y_m,top_elevation_m,admissible_model_count,admissible_models,x_min_m,x_median_m,x_max_m,x_spread_m,x_single_plane_m,x_segmented_plane_m,x_quadratic_surface_m,x_trace_constrained_ruled_m
F2,100.0,668.2044708337635,1874.6297245780763,2,single_plane;segmented_plane,-2535.0217626272934,-2419.2293051304296,-2303.436847633682,231.5849149936112,-2303.436847633682,-2535.0217626272934,,
F2,100.0,677.8183747502044,1879.7530069242375,2,single_plane;segmented_plane,-2572.5668108720565,-2452.598229034338,-2332.6296471966198,239.93716367543675,-2332.6296471966198,-2572.5668108720565,,
F2,100.0,687.4322786666453,1878.863637706528,2,single_plane;segmented_plane,-2601.1428167185513,-2476.8033909250516,-2352.463965131552,248.67885158699937,-2352.463965131552,-2601.1428167185513,,
F2,100.0,697.0461825830862,1878.7993092830093,2,single_plane;segmented_plane,-2630.9495318095433,-2502.265980991884,-2373.582430174225,257.36710163531825,-2373.582430174225,-2630.9495318095433,,
F2,100.0,706.6600865004584,1881.2040187102464,2,single_plane;segmented_plane,-2664.439298371086,-2531.4915822760668,-2398.543866180931,265.8954321901547,-2398.543866180931,-2664.439298371086,,
F2,100.0,716.2739904168993,1895.1968618013516,2,single_plane;segmented_plane,-2715.2150262137875,-2578.3784263462294,-2441.5418264786713,273.6731997351162,-2441.5418264786713,-2715.2150262137875,,
F2,100.0,725.8878943333402,1914.806098857844,2,single_plane;segmented_plane,-2774.368700968218,-2633.8251041476615,-2493.281507327105,281.0871936411131,-2493.281507327105,-2774.368700968218,,
F2,100.0,735.5017982497811,1927.7770627346144,2,single_plane;segmented_plane,-2823.6200966752367,-2679.154522541794,-2534.6889484083513,288.93114826688543,-2534.6889484083513,-2823.6200966752367,,
F2,100.0,745.1157021671534,1938.103146621917,2,single_plane;segmented_plane,-2868.9261380748358,-2720.4529322362505,-2571.9797263977816,296.94641167705413,-2571.9797263977816,-2868.9261380748358,,
F2,100.0,754.7296060835943,1937.2236921402548,2,single_plane;segmented_plane,-2897.5169336837716,-2744.6732049779966,-2591.8294762722217,305.68745741155,-2591.8294762722217,-2897.5169336837716,,
F2,100.0,764.3435100000352,1936.3442376585929,2,single_plane;segmented_plane,-2926.1077292927075,-2768.893477719743,-2611.6792261466617,314.42850314604584,-2611.6792261466617,-2926.1077292927075,,
F2,200.0,-389.3249599998817,1765.7628173828125,2,single_plane;segmented_plane,-150.60082795890048,102.55062502506189,355.7020780091407,506.3029059680412,355.7020780091407,-150.60082795890048,,
F2,200.0,-379.7110560834408,1765.7628173828125,2,single_plane;segmented_plane,-148.4817337631248,93.00087713240646,334.4834880278213,482.9652217909461,334.4834880278213,-148.4817337631248,,
F2,200.0,-370.0971521669999,1765.7628173828125,2,single_plane;segmented_plane,-146.3626395673491,83.4511292395182,313.2648980465019,459.627537613851,313.2648980465019,-146.3626395673491,,
F2,200.0,-360.48324824962765,1765.7628173828125,2,single_plane;segmented_plane,-144.243545371457,73.90138134581503,292.04630806308705,436.28985343454406,292.04630806308705,-144.243545371457,,
F2,200.0,-350.86934433318675,1765.7628173828125,2,single_plane;segmented_plane,-142.12445117568132,64.35163345304318,270.82771808176767,412.952169257449,270.82771808176767,-142.12445117568132,,
F2,200.0,-341.25544041674584,1765.7628173828125,2,single_plane;segmented_plane,-140.00535697990563,54.80188556027133,249.6091281004483,389.6144850803539,249.6091281004483,-140.00535697990563,,
F2,200.0,-331.64153650030494,1765.7628173828125,2,single_plane;segmented_plane,-137.88626278412994,45.25213766749948,228.3905381190125,366.2768009031424,228.3905381190125,-137.88626278412994,,
F2,200.0,-322.0276325829327,1765.7628173828125,2,single_plane;segmented_plane,-135.76716858823784,35.7023897736799,207.17194813571405,342.9391167239519,207.17194813571405,-135.76716858823784,,
F2,200.0,-312.4137286664918,1765.7628173828125,2,single_plane;segmented_plane,-133.64807439246215,26.15264188090805,185.95335815427825,319.6014325467404,185.95335815427825,-133.64807439246215,,
F2,200.0,-302.7998247500509,1765.7628173828125,2,single_plane;segmented_plane,-131.52898019668646,16.602893988136202,164.73476817295887,296.2637483696453,164.73476817295887,-131.52898019668646,,
F2,200.0,-293.18592083361,1765.7628173828125,2,single_plane;segmented_plane,-129.40988600091077,7.0531460953643546,143.51617819163948,272.92606419255026,143.51617819163948,-129.40988600091077,,
F2,200.0,-283.57201691623777,1765.7628173828125,2,single_plane;segmented_plane,-127.29079180501867,-2.4966017983388156,122.29758820822462,249.5883800132433,122.29758820822462,-127.29079180501867,,
F2,200.0,-273.95811299979687,1765.7628173828125,2,single_plane;segmented_plane,-125.17169760924298,-12.046349691227078,101.07899822690524,226.25069583614825,101.07899822690524,-125.17169760924298,,
F2,200.0,-264.34420908335596,1765.7628173828125,2,single_plane;segmented_plane,-123.0526034134673,-21.59609758388251,79.86040824558586,202.91301165905315,79.86040824558586,-123.0526034134673,,
F2,200.0,-254.73030516691506,1765.7628173828125,2,single_plane;segmented_plane,-120.93350921780802,-31.145845476770774,58.641818264266476,179.5753274820745,58.641818264266476,-120.93350921780802,,
F2,200.0,-245.11640124954283,1765.7628173828125,2,single_plane;segmented_plane,-118.8144150217995,-40.695593370473944,37.42322828085162,156.23764330265112,37.42322828085162,-118.8144150217995,,
F2,200.0,-235.50249733310193,1765.7628173828125,2,single_plane;segmented_plane,-116.69532082602382,-50.24534126324579,16.204638299532235,132.89995912555605,16.204638299532235,-116.69532082602382,,
F2,200.0,-225.88859341666102,1765.7628173828125,2,single_plane;segmented_plane,-114.57622663024813,-59.79508915601764,-5.013951681787148,109.56227494846098,-5.013951681787148,-114.57622663024813,,
F2,200.0,-216.27468950022012,1765.7628173828125,2,single_plane;segmented_plane,-112.45713243458886,-69.34483704878949,-26.23254166310653,86.22459077148233,-26.23254166310653,-112.45713243458886,,
F2,200.0,-206.6607855828479,1751.2409685865127,2,single_plane;segmented_plane,-88.67586869967636,-56.76212558639236,-24.848382472991943,63.827486226684414,-24.848382472991943,-88.67586869967636,,
F2,200.0,-197.046881666407,1741.8891454058305,2,single_plane;segmented_plane,-72.60670643195044,-52.05894677829929,-31.511187124764547,41.095519307185896,-31.511187124764547,-72.60670643195044,,
