scenario_id,seed,n_points,n_mc,n_competing_faults,minimum_base_spacing,curvature_rms,amplitude_median,dip_base_control,dip_y_variation_control,dip_depth_variation_control,ore_scatter_scale,perturbation_scale,baseline_accuracy,DSI_2D,DSI_3D,distance_diff_2D,distance_diff_3D,normalized_margin_2D,normalized_margin_3D,reversal_probability,binary_reversal_label,point_level_reattribution_probability,generator
OOD_1168,120657700,60,50,5,876.1951114961907,100.07633861090763,43.65022373521403,75.89447214543686,-6.861502795437273,-0.19623374695429163,110.0,10.0,1.0,7.430757805019796,8.952848062407998,580.0622433036897,625.1463922221861,0.7627452830013368,0.7989919886429202,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1169,178240152,60,50,1,1282.2148657823113,72.70357491305302,59.572515866447674,71.40882933370999,1.3331242456470598,-4.111882474329496,110.0,60.0,1.0,13.6678166382977,19.76081168139534,953.8424029431484,994.7265672026517,0.8636250238618366,0.9034893242745594,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1170,386295501,60,50,4,786.9350431557701,50.24284755642617,45.61943443527171,63.86653047297085,-8.463396529810446,-2.987539915179017,35.0,60.0,1.0,5.9292414940780995,33.58816652343198,510.2295820185618,603.8737481709613,0.7112805929086508,0.9421575531115048,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1171,2000301738,60,50,2,198.25995330818154,101.36809058582956,34.28366776497065,53.439509284748894,4.930040685458463,-0.5358059355314211,110.0,10.0,0.7666666666666667,0.3098256278732931,2.3812455099043417,-120.00352742589409,82.03134104612627,-0.5269545588609993,0.4083495776480803,1.0,1,0.21866666666666668,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1172,418251766,60,50,2,1314.821541082983,56.141464446828,84.07519244202877,57.239035344490915,-5.33348121969439,-5.007100781833378,70.0,10.0,1.0,7.068024935226429,32.58778273060309,782.2193043825349,890.8621026643457,0.7519578884539857,0.9404426814204956,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1173,1456369683,60,50,2,484.4891481413747,92.20211422063363,33.38853392420766,53.45703527410488,-2.439908510019812,2.4025027836914727,35.0,25.0,1.0,1.9221565193766579,20.0738021596596,144.6198016636337,341.81290677590255,0.3152326193005621,0.9050872329935095,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1174,1591034168,60,50,3,681.3221116217015,96.07347867468809,46.34595934920775,50.143720195035726,-7.542323739169722,-2.9863344417464326,35.0,60.0,1.0,3.001312581465853,33.87785981971048,319.5020216943679,510.61322044951453,0.5001568853222419,0.9426527186743401,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1175,199669151,60,50,5,403.8220665215261,81.52800650713131,36.37301273617892,66.68814475449798,1.6100760897413764,0.8961015557585448,35.0,25.0,1.0,2.452546524654423,14.016178866183317,146.79314783669042,274.0377181765328,0.42071168531615877,0.8665375114137487,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1176,1644901004,60,50,2,943.4685034671762,33.007410837829994,77.02013366496521,63.302825620773504,9.846115789949948,3.013569347690458,70.0,25.0,1.0,7.701486223233067,21.410785373383696,598.223820980078,695.3202694983809,0.7701138255996802,0.9107486522485978,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
OOD_1177,88360248,60,50,5,426.14623429217454,79.34057719240951,34.41533630223174,52.52479334469646,-9.60577875694515,-6.200410688645066,15.0,10.0,1.0,1.9143457688170191,35.73629744547017,119.43897797313,311.0197326315857,0.3125949571761917,0.9455570257659326,0.0,0,0.0,CURVED_TRACE_DEPTH_VARIABLE_DIP_ANISOTROPIC_CORRELATED_V1
