point_id,section_id,zone,point_class,is_primary,is_nearby,metric,distance_type,associated_fault,competing_fault,value,units
ORE_0013,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,52.74263121028356,ratio
ORE_0013,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,113.57789895517179,m
ORE_0013,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,250.9295796458006,m
ORE_0013,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,2.209316970591614,ratio
ORE_0014,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,23.367091484141124,m
ORE_0014,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1487.3043957107575,m
ORE_0014,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,63.649530225880596,ratio
ORE_0014,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,103.9303903878637,m
ORE_0014,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,260.9467055724976,m
ORE_0014,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,2.5107834638035693,ratio
ORE_0015,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,20.79644627102748,m
ORE_0015,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1485.9746699894151,m
ORE_0015,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,71.45329786751101,ratio
ORE_0015,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,94.56553726204984,m
ORE_0015,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,270.6795068752396,m
ORE_0015,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,2.862348321726991,ratio
ORE_0016,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,14.05140350933686,m
ORE_0016,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1483.8991338081294,m
ORE_0016,K00,MZ-II,MZII_nearby,False,True,3D_pairwise_F2F7_separation_ratio,3D finite surface ratio,F7,other_of_F2_F7,105.60504741196208,ratio
ORE_0016,K00,MZ-II,MZII_nearby,False,True,plan_trace_associated_distance,2D plan trace,F7,F6,78.90267056375502,m
ORE_0016,K00,MZ-II,MZII_nearby,False,True,plan_trace_nearest_competing_distance,2D plan trace,F7,F6,286.9577724073694,m
ORE_0016,K00,MZ-II,MZII_nearby,False,True,DSI_2D_Eq5,2D plan trace ratio,F7,F6,3.6368575405252157,ratio
ORE_0017,K00,MZ-II,MZII_nearby,False,True,3D_surface_associated_distance,3D finite surface,F7,other_of_F2_F7,6.810515589142274,m
ORE_0017,K00,MZ-II,MZII_nearby,False,True,3D_surface_competing_F2F7_distance,3D finite surface,F7,other_of_F2_F7,1482.8637668795277,m
